First Name,Middle Name,Surname,Full Name,Gender,Relation
Mina,Rani,Thapa,Mina Rani Thapa,Female,Mother
Sunita,,Timalsina,Sunita Timalsina,Female,Mother
Sunita,Devi,Bhandari,Sunita Devi Bhandari,Female,Wife
Dipak,Kumar,Gurung,Dipak Kumar Gurung,Male,Husband
Sita,Devi,Karki,Sita Devi Karki,Female,Wife
Moni,Laxmi,Sherpa,Moni Laxmi Sherpa,Female,Wife
Safal,Prasad,Tamang,Safal Prasad Tamang,Male,Father
Sunita,,Timalsina,Sunita Timalsina,Female,Mother
Shreya,,Rai,Shreya Rai,Female,Mother
Sunil,,Gurung,Sunil Gurung,Male,Father
Sunita,,Bhandari,Sunita Bhandari,Female,Wife
Shyam,,Rai,Shyam Rai,Male,Husband
Sapana,,K.C.,Sapana K.C.,Female,Mother
Safal,,Tamang,Safal Tamang,Male,Father
Shreya,Maya,Bhandari,Shreya Maya Bhandari,Female,Wife
Anil,Bahadur,Shrestha,Anil Bahadur Shrestha,Male,Father
Prasant,Krishna,Tamang,Prasant Krishna Tamang,Male,Husband
Moni,Kumari,K.C.,Moni Kumari K.C.,Female,Wife
Shyam,Lal,Rai,Shyam Lal Rai,Male,Husband
Abhaya,,Maharjan,Abhaya Maharjan,Male,Husband
Dev,Lal,Karki,Dev Lal Karki,Male,Husband
Dev,,Bhandari,Dev Bhandari,Male,Husband
Raj,Raj,Timalsina,Raj Raj Timalsina,Male,Father
Sabita,Laxmi,Maharjan,Sabita Laxmi Maharjan,Female,Wife
Anil,Krishna,Shrestha,Anil Krishna Shrestha,Male,Father
Abhaya,Prasad,Thapa,Abhaya Prasad Thapa,Male,Husband
Dipak,Krishna,Thapa,Dipak Krishna Thapa,Male,Father
Sabita,Laxmi,Maharjan,Sabita Laxmi Maharjan,Female,Wife
Safal,Kumar,Thapa,Safal Kumar Thapa,Male,Father
Sisir,,Sherpa,Sisir Sherpa,Male,Father
Abhaya,,Bhandari,Abhaya Bhandari,Male,Father
Sunil,Bahadur,Gurung,Sunil Bahadur Gurung,Male,Father
Shreya,,Shrestha,Shreya Shrestha,Female,Wife
Shreya,Devi,K.C.,Shreya Devi K.C.,Female,Wife
Sita,Devi,Shrestha,Sita Devi Shrestha,Female,Mother
Kiran,Krishna,Timalsina,Kiran Krishna Timalsina,Male,Father
Anil,,Timalsina,Anil Timalsina,Male,Father
Prasant,Singh,Gurung,Prasant Singh Gurung,Male,Father
Prasant,,Maharjan,Prasant Maharjan,Male,Father
Sunita,Laxmi,Timalsina,Sunita Laxmi Timalsina,Female,Mother
Sunil,Krishna,Timalsina,Sunil Krishna Timalsina,Male,Father
Sita,Laxmi,Karki,Sita Laxmi Karki,Female,Mother
Dipak,Singh,Timalsina,Dipak Singh Timalsina,Male,Father
Hari,,K.C.,Hari K.C.,Male,Father
Mina,Kumari,K.C.,Mina Kumari K.C.,Female,Wife
Shreya,,Maharjan,Shreya Maharjan,Female,Wife
Moni,Kumari,Bhandari,Moni Kumari Bhandari,Female,Mother
Gita,,K.C.,Gita K.C.,Female,Wife
Gita,,Timalsina,Gita Timalsina,Female,Mother
Ram,Singh,Rai,Ram Singh Rai,Male,Husband
Shreya,Laxmi,Timalsina,Shreya Laxmi Timalsina,Female,Mother
Anil,Kumar,Timalsina,Anil Kumar Timalsina,Male,Husband
Shreya,Laxmi,Rai,Shreya Laxmi Rai,Female,Mother
Moni,Kumari,Maharjan,Moni Kumari Maharjan,Female,Mother
Sunil,,Karki,Sunil Karki,Male,Father
Anil,,Thapa,Anil Thapa,Male,Father
Shyam,Man,Thapa,Shyam Man Thapa,Male,Father
Ram,,Shrestha,Ram Shrestha,Male,Husband
Hari,Prasad,Karki,Hari Prasad Karki,Male,Husband
Prasant,Kumar,Bhandari,Prasant Kumar Bhandari,Male,Husband
Sita,Rani,K.C.,Sita Rani K.C.,Female,Mother
Gita,Laxmi,K.C.,Gita Laxmi K.C.,Female,Mother
Gita,Laxmi,K.C.,Gita Laxmi K.C.,Female,Wife
Kiran,,Karki,Kiran Karki,Male,Husband
Anil,Raj,Thapa,Anil Raj Thapa,Male,Father
Moni,Devi,Bhandari,Moni Devi Bhandari,Female,Mother
Dipak,Man,Timalsina,Dipak Man Timalsina,Male,Father
Safal,Prasad,Timalsina,Safal Prasad Timalsina,Male,Husband
Sapana,,Rai,Sapana Rai,Female,Mother
Shreya,Rani,K.C.,Shreya Rani K.C.,Female,Mother
Ram,Raj,Sherpa,Ram Raj Sherpa,Male,Husband
Moni,Maya,Rai,Moni Maya Rai,Female,Wife
Praful,Bahadur,Thapa,Praful Bahadur Thapa,Male,Husband
Sapana,,Shrestha,Sapana Shrestha,Female,Mother
Sunita,Rani,Gurung,Sunita Rani Gurung,Female,Mother
Kiran,Bahadur,Karki,Kiran Bahadur Karki,Male,Husband
Ram,Lal,Tamang,Ram Lal Tamang,Male,Father
Dev,Krishna,Bhandari,Dev Krishna Bhandari,Male,Father
Dipak,Kumar,Sherpa,Dipak Kumar Sherpa,Male,Father
Sabita,Laxmi,Tamang,Sabita Laxmi Tamang,Female,Wife
Mina,Kumari,Gurung,Mina Kumari Gurung,Female,Wife
Praful,,Thapa,Praful Thapa,Male,Father
Sapana,Maya,Bhandari,Sapana Maya Bhandari,Female,Mother
Sabita,Maya,Tamang,Sabita Maya Tamang,Female,Wife
Sabita,Laxmi,Sherpa,Sabita Laxmi Sherpa,Female,Wife
Mina,Laxmi,Maharjan,Mina Laxmi Maharjan,Female,Wife
Sita,,Karki,Sita Karki,Female,Wife
Shreya,Devi,Tamang,Shreya Devi Tamang,Female,Wife
Hari,Lal,Bhandari,Hari Lal Bhandari,Male,Father
Hari,Prasad,Rai,Hari Prasad Rai,Male,Father
Shreya,Kumari,Thapa,Shreya Kumari Thapa,Female,Mother
Prasant,Lal,K.C.,Prasant Lal K.C.,Male,Husband
Shyam,Raj,K.C.,Shyam Raj K.C.,Male,Husband
Prasant,Krishna,Shrestha,Prasant Krishna Shrestha,Male,Husband
Sunita,Laxmi,K.C.,Sunita Laxmi K.C.,Female,Mother
Shreya,,Gurung,Shreya Gurung,Female,Mother
Ram,Kumar,Gurung,Ram Kumar Gurung,Male,Father
Shyam,,Rai,Shyam Rai,Male,Husband
Sapana,Rani,Rai,Sapana Rani Rai,Female,Mother
Moni,,Tamang,Moni Tamang,Female,Wife
Sapana,,Maharjan,Sapana Maharjan,Female,Wife
Sunita,Kumari,Timalsina,Sunita Kumari Timalsina,Female,Mother
Dipak,Lal,Thapa,Dipak Lal Thapa,Male,Husband
Dipak,Raj,Maharjan,Dipak Raj Maharjan,Male,Father
Safal,Singh,Sherpa,Safal Singh Sherpa,Male,Father
Abhaya,Singh,Rai,Abhaya Singh Rai,Male,Husband
Safal,Krishna,Timalsina,Safal Krishna Timalsina,Male,Husband
Shreya,Laxmi,Rai,Shreya Laxmi Rai,Female,Mother
Shyam,Krishna,Timalsina,Shyam Krishna Timalsina,Male,Father
Gita,Kumari,Tamang,Gita Kumari Tamang,Female,Wife
Mina,Kumari,Rai,Mina Kumari Rai,Female,Wife
Sunita,Rani,Bhandari,Sunita Rani Bhandari,Female,Mother
Moni,Laxmi,Karki,Moni Laxmi Karki,Female,Mother
Mina,Rani,Bhandari,Mina Rani Bhandari,Female,Mother
Gita,Laxmi,Sherpa,Gita Laxmi Sherpa,Female,Wife
Mina,Laxmi,Karki,Mina Laxmi Karki,Female,Wife
Raj,Raj,Bhandari,Raj Raj Bhandari,Male,Husband
Dipak,Bahadur,Gurung,Dipak Bahadur Gurung,Male,Father
Anil,Raj,Gurung,Anil Raj Gurung,Male,Husband
Sunita,Rani,K.C.,Sunita Rani K.C.,Female,Mother
Sita,Kumari,Sherpa,Sita Kumari Sherpa,Female,Wife
Dipak,Man,Maharjan,Dipak Man Maharjan,Male,Father
Kiran,Lal,Sherpa,Kiran Lal Sherpa,Male,Husband
Sapana,Kumari,Timalsina,Sapana Kumari Timalsina,Female,Mother
Sunil,Krishna,Sherpa,Sunil Krishna Sherpa,Male,Husband
Safal,Prasad,Timalsina,Safal Prasad Timalsina,Male,Father
Dev,Man,Thapa,Dev Man Thapa,Male,Father
Shreya,Maya,Shrestha,Shreya Maya Shrestha,Female,Wife
Dipak,Man,Shrestha,Dipak Man Shrestha,Male,Father
Abhaya,Kumar,Gurung,Abhaya Kumar Gurung,Male,Father
Sabita,,Sherpa,Sabita Sherpa,Female,Mother
Dipak,Prasad,Sherpa,Dipak Prasad Sherpa,Male,Father
Moni,,Tamang,Moni Tamang,Female,Mother
Sita,Kumari,Thapa,Sita Kumari Thapa,Female,Wife
Shreya,Rani,Gurung,Shreya Rani Gurung,Female,Wife
Sunita,Devi,K.C.,Sunita Devi K.C.,Female,Mother
Shyam,Kumar,Sherpa,Shyam Kumar Sherpa,Male,Father
Abhaya,,Karki,Abhaya Karki,Male,Husband
Hari,Raj,Maharjan,Hari Raj Maharjan,Male,Father
Sunita,Maya,K.C.,Sunita Maya K.C.,Female,Wife
Ram,,Gurung,Ram Gurung,Male,Husband
Sisir,,Thapa,Sisir Thapa,Male,Father
Shyam,Raj,Rai,Shyam Raj Rai,Male,Father
Shyam,Krishna,Sherpa,Shyam Krishna Sherpa,Male,Father
Sapana,,K.C.,Sapana K.C.,Female,Wife
Anil,Bahadur,Maharjan,Anil Bahadur Maharjan,Male,Father
Mina,,Karki,Mina Karki,Female,Wife
Sisir,,K.C.,Sisir K.C.,Male,Husband
Anil,Krishna,Gurung,Anil Krishna Gurung,Male,Husband
Shyam,Krishna,Karki,Shyam Krishna Karki,Male,Father
Sabita,Devi,Bhandari,Sabita Devi Bhandari,Female,Wife
Sunita,,Sherpa,Sunita Sherpa,Female,Wife
Dipak,,Maharjan,Dipak Maharjan,Male,Father
Kiran,Lal,K.C.,Kiran Lal K.C.,Male,Husband
Sita,,Gurung,Sita Gurung,Female,Wife
Gita,Rani,Maharjan,Gita Rani Maharjan,Female,Mother
Anil,,Karki,Anil Karki,Male,Husband
Ram,Krishna,Thapa,Ram Krishna Thapa,Male,Father
Anil,Singh,K.C.,Anil Singh K.C.,Male,Father
Moni,Rani,Rai,Moni Rani Rai,Female,Mother
Gita,,Bhandari,Gita Bhandari,Female,Wife
Moni,Laxmi,Thapa,Moni Laxmi Thapa,Female,Wife
Shreya,,Gurung,Shreya Gurung,Female,Mother
Raj,Prasad,K.C.,Raj Prasad K.C.,Male,Father
Mina,Kumari,Thapa,Mina Kumari Thapa,Female,Mother
Sunil,,Karki,Sunil Karki,Male,Father
Sabita,Maya,Shrestha,Sabita Maya Shrestha,Female,Wife
Gita,Rani,Rai,Gita Rani Rai,Female,Wife
Shyam,Kumar,Karki,Shyam Kumar Karki,Male,Husband
Shreya,Laxmi,Maharjan,Shreya Laxmi Maharjan,Female,Wife
Sapana,Laxmi,Shrestha,Sapana Laxmi Shrestha,Female,Wife
Shreya,,Karki,Shreya Karki,Female,Wife
Sisir,,Tamang,Sisir Tamang,Male,Father
Dipak,Krishna,Bhandari,Dipak Krishna Bhandari,Male,Father
Shreya,Laxmi,Shrestha,Shreya Laxmi Shrestha,Female,Wife
Moni,,Bhandari,Moni Bhandari,Female,Wife
Sita,Maya,Tamang,Sita Maya Tamang,Female,Wife
Sabita,Devi,Maharjan,Sabita Devi Maharjan,Female,Mother
Shyam,Man,Bhandari,Shyam Man Bhandari,Male,Husband
Sunita,,Tamang,Sunita Tamang,Female,Mother
Shreya,Maya,Bhandari,Shreya Maya Bhandari,Female,Wife
Sita,,Karki,Sita Karki,Female,Wife
Sunita,Rani,K.C.,Sunita Rani K.C.,Female,Mother
Shyam,Prasad,Sherpa,Shyam Prasad Sherpa,Male,Husband
Dev,Man,K.C.,Dev Man K.C.,Male,Husband
Raj,Man,Timalsina,Raj Man Timalsina,Male,Father
Ram,,Bhandari,Ram Bhandari,Male,Father
Ram,Lal,Rai,Ram Lal Rai,Male,Husband
Moni,,Karki,Moni Karki,Female,Wife
Shreya,,Bhandari,Shreya Bhandari,Female,Wife
Sunil,Man,Thapa,Sunil Man Thapa,Male,Husband
Sita,Laxmi,Tamang,Sita Laxmi Tamang,Female,Wife
Sunita,,Gurung,Sunita Gurung,Female,Wife
Kiran,Raj,Gurung,Kiran Raj Gurung,Male,Father
Sapana,,Maharjan,Sapana Maharjan,Female,Mother
Sabita,,Rai,Sabita Rai,Female,Wife
Hari,Bahadur,Maharjan,Hari Bahadur Maharjan,Male,Husband
Sapana,Laxmi,Thapa,Sapana Laxmi Thapa,Female,Mother
Prasant,,Thapa,Prasant Thapa,Male,Husband
Sabita,Laxmi,Sherpa,Sabita Laxmi Sherpa,Female,Wife
Moni,,Tamang,Moni Tamang,Female,Mother
Sunita,Maya,Bhandari,Sunita Maya Bhandari,Female,Wife
Dev,Krishna,Shrestha,Dev Krishna Shrestha,Male,Father
Sapana,Devi,Thapa,Sapana Devi Thapa,Female,Mother
Sunita,Laxmi,Bhandari,Sunita Laxmi Bhandari,Female,Wife
Praful,Man,Thapa,Praful Man Thapa,Male,Husband
Sabita,,Sherpa,Sabita Sherpa,Female,Wife
Kiran,Bahadur,Tamang,Kiran Bahadur Tamang,Male,Father
Anil,Prasad,Maharjan,Anil Prasad Maharjan,Male,Husband
Prasant,Singh,Rai,Prasant Singh Rai,Male,Father
Sisir,Kumar,Tamang,Sisir Kumar Tamang,Male,Husband
Sunil,Man,Timalsina,Sunil Man Timalsina,Male,Husband
Gita,Rani,Karki,Gita Rani Karki,Female,Mother
Abhaya,Krishna,Rai,Abhaya Krishna Rai,Male,Father
Praful,Lal,Sherpa,Praful Lal Sherpa,Male,Father
Sita,Kumari,Gurung,Sita Kumari Gurung,Female,Mother
Sita,Kumari,Bhandari,Sita Kumari Bhandari,Female,Wife
Sunil,,Shrestha,Sunil Shrestha,Male,Husband
Sabita,,Sherpa,Sabita Sherpa,Female,Mother
Sapana,Rani,Timalsina,Sapana Rani Timalsina,Female,Mother
Sunita,,Thapa,Sunita Thapa,Female,Mother
Raj,Lal,Sherpa,Raj Lal Sherpa,Male,Father
Abhaya,Singh,Rai,Abhaya Singh Rai,Male,Father
Sabita,,Timalsina,Sabita Timalsina,Female,Wife
Anil,Singh,K.C.,Anil Singh K.C.,Male,Father
Gita,Rani,Gurung,Gita Rani Gurung,Female,Wife
Praful,Man,Tamang,Praful Man Tamang,Male,Father
Anil,Lal,Thapa,Anil Lal Thapa,Male,Husband
Ram,Krishna,Karki,Ram Krishna Karki,Male,Husband
Praful,Bahadur,Shrestha,Praful Bahadur Shrestha,Male,Father
Gita,Rani,Karki,Gita Rani Karki,Female,Wife
Shreya,,Thapa,Shreya Thapa,Female,Wife
Sapana,Maya,Bhandari,Sapana Maya Bhandari,Female,Wife
Ram,Lal,K.C.,Ram Lal K.C.,Male,Husband
Gita,Laxmi,Karki,Gita Laxmi Karki,Female,Mother
Sapana,Maya,Maharjan,Sapana Maya Maharjan,Female,Mother
Gita,,Thapa,Gita Thapa,Female,Mother
Sabita,,Karki,Sabita Karki,Female,Wife
Shyam,Singh,K.C.,Shyam Singh K.C.,Male,Father
Moni,,Shrestha,Moni Shrestha,Female,Mother
Sunil,Prasad,K.C.,Sunil Prasad K.C.,Male,Father
Sita,Rani,Karki,Sita Rani Karki,Female,Mother
Sapana,Devi,Bhandari,Sapana Devi Bhandari,Female,Wife
Safal,Kumar,Timalsina,Safal Kumar Timalsina,Male,Father
Praful,Man,Tamang,Praful Man Tamang,Male,Husband
Dipak,Lal,K.C.,Dipak Lal K.C.,Male,Husband
Mina,,Shrestha,Mina Shrestha,Female,Wife
Sabita,Maya,Sherpa,Sabita Maya Sherpa,Female,Wife
Sita,Laxmi,Sherpa,Sita Laxmi Sherpa,Female,Mother
Ram,,Karki,Ram Karki,Male,Father
Shreya,Kumari,Timalsina,Shreya Kumari Timalsina,Female,Mother
Prasant,Krishna,Gurung,Prasant Krishna Gurung,Male,Husband
Anil,,Rai,Anil Rai,Male,Husband
Dev,Lal,K.C.,Dev Lal K.C.,Male,Husband
Safal,Krishna,Maharjan,Safal Krishna Maharjan,Male,Husband
Shreya,Rani,Sherpa,Shreya Rani Sherpa,Female,Mother
Moni,,Bhandari,Moni Bhandari,Female,Wife
Shreya,Devi,Tamang,Shreya Devi Tamang,Female,Mother
Shyam,Krishna,Rai,Shyam Krishna Rai,Male,Father
Moni,Kumari,Gurung,Moni Kumari Gurung,Female,Wife
Praful,,Tamang,Praful Tamang,Male,Husband
Sabita,Devi,Sherpa,Sabita Devi Sherpa,Female,Mother
Sunita,Devi,Sherpa,Sunita Devi Sherpa,Female,Wife
Dipak,Krishna,Gurung,Dipak Krishna Gurung,Male,Father
Sapana,Laxmi,Tamang,Sapana Laxmi Tamang,Female,Wife
Sunil,,K.C.,Sunil K.C.,Male,Husband
Sunita,Rani,K.C.,Sunita Rani K.C.,Female,Wife
Sapana,Devi,Tamang,Sapana Devi Tamang,Female,Mother
Sita,,Thapa,Sita Thapa,Female,Mother
Moni,,Rai,Moni Rai,Female,Wife
Moni,,K.C.,Moni K.C.,Female,Wife
Praful,Prasad,Gurung,Praful Prasad Gurung,Male,Husband
Mina,,K.C.,Mina K.C.,Female,Wife
Sabita,,Gurung,Sabita Gurung,Female,Mother
Shreya,Maya,Gurung,Shreya Maya Gurung,Female,Mother
Praful,Kumar,Rai,Praful Kumar Rai,Male,Husband
Safal,,Maharjan,Safal Maharjan,Male,Husband
Dipak,Krishna,K.C.,Dipak Krishna K.C.,Male,Husband
Moni,Maya,Rai,Moni Maya Rai,Female,Wife
Mina,Maya,Thapa,Mina Maya Thapa,Female,Mother
Shreya,Maya,Maharjan,Shreya Maya Maharjan,Female,Mother
Prasant,,Tamang,Prasant Tamang,Male,Husband
Dipak,Singh,Timalsina,Dipak Singh Timalsina,Male,Husband
Abhaya,Singh,Tamang,Abhaya Singh Tamang,Male,Father
Sapana,Rani,K.C.,Sapana Rani K.C.,Female,Wife
Sapana,Laxmi,Rai,Sapana Laxmi Rai,Female,Mother
Shreya,,Shrestha,Shreya Shrestha,Female,Wife
Gita,Kumari,Thapa,Gita Kumari Thapa,Female,Mother
Sita,Maya,Gurung,Sita Maya Gurung,Female,Mother
Hari,,Sherpa,Hari Sherpa,Male,Father
Mina,Devi,Rai,Mina Devi Rai,Female,Wife
Gita,,Sherpa,Gita Sherpa,Female,Wife
Gita,Kumari,Maharjan,Gita Kumari Maharjan,Female,Wife
Anil,Bahadur,Bhandari,Anil Bahadur Bhandari,Male,Father
Shyam,Kumar,Rai,Shyam Kumar Rai,Male,Father
Mina,Kumari,Bhandari,Mina Kumari Bhandari,Female,Wife
Sapana,,Sherpa,Sapana Sherpa,Female,Mother
Mina,Kumari,Gurung,Mina Kumari Gurung,Female,Mother
Raj,Man,Gurung,Raj Man Gurung,Male,Father
Anil,Raj,Maharjan,Anil Raj Maharjan,Male,Father
Shreya,,Tamang,Shreya Tamang,Female,Wife
Mina,,K.C.,Mina K.C.,Female,Wife
Safal,Prasad,Thapa,Safal Prasad Thapa,Male,Husband
Gita,,Bhandari,Gita Bhandari,Female,Wife
Sunil,,Bhandari,Sunil Bhandari,Male,Father
Kiran,,Karki,Kiran Karki,Male,Father
Gita,,Bhandari,Gita Bhandari,Female,Mother
Raj,Kumar,Maharjan,Raj Kumar Maharjan,Male,Father
Gita,Laxmi,Bhandari,Gita Laxmi Bhandari,Female,Mother
Mina,Rani,Bhandari,Mina Rani Bhandari,Female,Mother
Raj,Man,Tamang,Raj Man Tamang,Male,Husband
Kiran,,Gurung,Kiran Gurung,Male,Father
Safal,Kumar,Bhandari,Safal Kumar Bhandari,Male,Husband
Sunita,Kumari,K.C.,Sunita Kumari K.C.,Female,Wife
Dipak,,K.C.,Dipak K.C.,Male,Father
Sita,Laxmi,Gurung,Sita Laxmi Gurung,Female,Mother
Sisir,Singh,Maharjan,Sisir Singh Maharjan,Male,Father
Sabita,Rani,Karki,Sabita Rani Karki,Female,Mother
Kiran,Raj,Karki,Kiran Raj Karki,Male,Husband
Sita,Devi,Gurung,Sita Devi Gurung,Female,Wife
Abhaya,Singh,Tamang,Abhaya Singh Tamang,Male,Husband
Sita,,Bhandari,Sita Bhandari,Female,Mother
Sunita,Devi,Gurung,Sunita Devi Gurung,Female,Mother
Shyam,Raj,K.C.,Shyam Raj K.C.,Male,Husband
Mina,,Thapa,Mina Thapa,Female,Wife
Hari,Lal,Thapa,Hari Lal Thapa,Male,Husband
Sabita,,Thapa,Sabita Thapa,Female,Mother
Kiran,,Bhandari,Kiran Bhandari,Male,Father
Dipak,Man,Sherpa,Dipak Man Sherpa,Male,Husband
Sita,Maya,Thapa,Sita Maya Thapa,Female,Mother
Sunita,Laxmi,Karki,Sunita Laxmi Karki,Female,Wife
Dipak,,Karki,Dipak Karki,Male,Father
Ram,,K.C.,Ram K.C.,Male,Father
Hari,Krishna,K.C.,Hari Krishna K.C.,Male,Father
Sita,Kumari,Sherpa,Sita Kumari Sherpa,Female,Wife
Abhaya,,Thapa,Abhaya Thapa,Male,Husband
Gita,,Timalsina,Gita Timalsina,Female,Wife
Sapana,Maya,Rai,Sapana Maya Rai,Female,Mother
Moni,,Timalsina,Moni Timalsina,Female,Wife
Safal,Prasad,Timalsina,Safal Prasad Timalsina,Male,Father
Ram,Bahadur,Maharjan,Ram Bahadur Maharjan,Male,Father
Sisir,Lal,Maharjan,Sisir Lal Maharjan,Male,Father
Abhaya,Bahadur,K.C.,Abhaya Bahadur K.C.,Male,Husband
Sabita,,Maharjan,Sabita Maharjan,Female,Mother
Abhaya,Prasad,Shrestha,Abhaya Prasad Shrestha,Male,Husband
Dev,Man,K.C.,Dev Man K.C.,Male,Father
Sunita,Maya,Shrestha,Sunita Maya Shrestha,Female,Wife
Dipak,Kumar,Rai,Dipak Kumar Rai,Male,Father
Ram,,Bhandari,Ram Bhandari,Male,Father
Sisir,,Sherpa,Sisir Sherpa,Male,Father
Hari,,Timalsina,Hari Timalsina,Male,Husband
Kiran,Man,Timalsina,Kiran Man Timalsina,Male,Father
Praful,,Shrestha,Praful Shrestha,Male,Husband
Kiran,Man,Thapa,Kiran Man Thapa,Male,Husband
Sapana,Kumari,Timalsina,Sapana Kumari Timalsina,Female,Wife
Sunita,Rani,K.C.,Sunita Rani K.C.,Female,Wife
Dev,,Thapa,Dev Thapa,Male,Husband
Sapana,,Rai,Sapana Rai,Female,Mother
Mina,Kumari,Rai,Mina Kumari Rai,Female,Mother
Praful,,Rai,Praful Rai,Male,Father
Sapana,Maya,Thapa,Sapana Maya Thapa,Female,Mother
Sunita,Maya,Bhandari,Sunita Maya Bhandari,Female,Wife
Shyam,Lal,Karki,Shyam Lal Karki,Male,Husband
Mina,,Gurung,Mina Gurung,Female,Wife
Shyam,,Shrestha,Shyam Shrestha,Male,Husband
Sunita,Laxmi,Shrestha,Sunita Laxmi Shrestha,Female,Wife
Dev,Prasad,K.C.,Dev Prasad K.C.,Male,Husband
Safal,Kumar,Timalsina,Safal Kumar Timalsina,Male,Father
Sabita,Rani,Maharjan,Sabita Rani Maharjan,Female,Wife
Mina,Laxmi,Karki,Mina Laxmi Karki,Female,Wife
Sabita,Devi,K.C.,Sabita Devi K.C.,Female,Mother
Sita,Kumari,Tamang,Sita Kumari Tamang,Female,Wife
Sapana,,Tamang,Sapana Tamang,Female,Wife
Gita,,Gurung,Gita Gurung,Female,Wife
Anil,Krishna,Timalsina,Anil Krishna Timalsina,Male,Husband
Sunita,Kumari,Karki,Sunita Kumari Karki,Female,Mother
Abhaya,Prasad,Timalsina,Abhaya Prasad Timalsina,Male,Husband
Sunita,,Bhandari,Sunita Bhandari,Female,Wife
Gita,Devi,Gurung,Gita Devi Gurung,Female,Mother
Raj,,Tamang,Raj Tamang,Male,Father
Mina,Maya,Rai,Mina Maya Rai,Female,Mother
Kiran,Raj,Rai,Kiran Raj Rai,Male,Father
Mina,Devi,K.C.,Mina Devi K.C.,Female,Wife
Moni,Laxmi,Tamang,Moni Laxmi Tamang,Female,Mother
Raj,Prasad,Gurung,Raj Prasad Gurung,Male,Husband
Moni,Laxmi,Maharjan,Moni Laxmi Maharjan,Female,Wife
Praful,,K.C.,Praful K.C.,Male,Husband
Gita,Kumari,Bhandari,Gita Kumari Bhandari,Female,Mother
Sisir,,Gurung,Sisir Gurung,Male,Husband
Sunil,,Timalsina,Sunil Timalsina,Male,Father
Shreya,Kumari,Tamang,Shreya Kumari Tamang,Female,Mother
Sunil,Raj,Thapa,Sunil Raj Thapa,Male,Father
Shreya,Devi,Thapa,Shreya Devi Thapa,Female,Wife
Kiran,,Thapa,Kiran Thapa,Male,Husband
Anil,Krishna,Thapa,Anil Krishna Thapa,Male,Husband
Shreya,,Maharjan,Shreya Maharjan,Female,Mother
Safal,Raj,Maharjan,Safal Raj Maharjan,Male,Father
Shyam,,Thapa,Shyam Thapa,Male,Husband
Sapana,Maya,Thapa,Sapana Maya Thapa,Female,Wife
Sabita,,Tamang,Sabita Tamang,Female,Mother
Dev,Krishna,Rai,Dev Krishna Rai,Male,Father
Ram,,Gurung,Ram Gurung,Male,Husband
Abhaya,Prasad,Tamang,Abhaya Prasad Tamang,Male,Husband
Prasant,,Timalsina,Prasant Timalsina,Male,Father
Kiran,Kumar,Sherpa,Kiran Kumar Sherpa,Male,Father
Hari,Singh,K.C.,Hari Singh K.C.,Male,Father
Hari,Raj,K.C.,Hari Raj K.C.,Male,Husband
Sisir,,Bhandari,Sisir Bhandari,Male,Father
Gita,,Bhandari,Gita Bhandari,Female,Mother
Mina,,Rai,Mina Rai,Female,Wife
Sunita,Rani,Sherpa,Sunita Rani Sherpa,Female,Wife
Gita,Devi,Bhandari,Gita Devi Bhandari,Female,Mother
Anil,Bahadur,Gurung,Anil Bahadur Gurung,Male,Father
Sita,Laxmi,Karki,Sita Laxmi Karki,Female,Mother
Moni,Devi,Karki,Moni Devi Karki,Female,Wife
Sisir,Lal,Sherpa,Sisir Lal Sherpa,Male,Father
Mina,Maya,Tamang,Mina Maya Tamang,Female,Mother
Shreya,,Maharjan,Shreya Maharjan,Female,Mother
Sita,Devi,Maharjan,Sita Devi Maharjan,Female,Wife
Hari,,Karki,Hari Karki,Male,Husband
Praful,Prasad,Karki,Praful Prasad Karki,Male,Father
Moni,Kumari,K.C.,Moni Kumari K.C.,Female,Mother
Shreya,Laxmi,Maharjan,Shreya Laxmi Maharjan,Female,Wife
Sita,,Karki,Sita Karki,Female,Wife
Praful,,Rai,Praful Rai,Male,Father
Prasant,,K.C.,Prasant K.C.,Male,Father
Raj,,Tamang,Raj Tamang,Male,Husband
Moni,,Karki,Moni Karki,Female,Mother
Anil,Prasad,Karki,Anil Prasad Karki,Male,Father
Sapana,,Tamang,Sapana Tamang,Female,Mother
Mina,Maya,Rai,Mina Maya Rai,Female,Mother
Sita,Laxmi,Tamang,Sita Laxmi Tamang,Female,Mother
Moni,Kumari,Thapa,Moni Kumari Thapa,Female,Wife
Ram,,Rai,Ram Rai,Male,Father
Mina,Laxmi,K.C.,Mina Laxmi K.C.,Female,Wife
Kiran,,Gurung,Kiran Gurung,Male,Father
Anil,Singh,Shrestha,Anil Singh Shrestha,Male,Husband
Sisir,Raj,Shrestha,Sisir Raj Shrestha,Male,Father
Mina,Laxmi,Gurung,Mina Laxmi Gurung,Female,Wife
Shreya,Devi,Gurung,Shreya Devi Gurung,Female,Mother
Abhaya,,Karki,Abhaya Karki,Male,Father
Sita,,Karki,Sita Karki,Female,Wife
Safal,,Bhandari,Safal Bhandari,Male,Husband
Mina,,Maharjan,Mina Maharjan,Female,Mother
Ram,,Tamang,Ram Tamang,Male,Father
Sapana,Maya,Sherpa,Sapana Maya Sherpa,Female,Wife
Prasant,Kumar,Sherpa,Prasant Kumar Sherpa,Male,Husband
Shyam,,Maharjan,Shyam Maharjan,Male,Father
